method,metoda,AUC-PR
metoda1-1,run1-1_BuzzFeed_pr_curve.csv,0.388887547951287
metoda1-2,run1-2_BuzzFeed_pr_curve.csv,0.5235471321293833
metoda1-3,run1-3_BuzzFeed_pr_curve.csv,0.397560256701143
metoda1-4,run1-4_BuzzFeed_pr_curve.csv,0.3804672633175874
metoda1-5,run1-5_BuzzFeed_pr_curve.csv,0.4767631295902548
metoda10,run10_BuzzFeed_pr_curve.csv,0.5092425819648818
metoda11,run11_BuzzFeed_pr_curve.csv,0.5275444597964546
metoda12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.5509751547116649
metoda12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.5764805954847447
metoda13,run13_BuzzFeed_pr_curve.csv,0.552470755261242
metoda14,run14_BuzzFeed_pr_curve.csv,0.4873421042804442
metoda15,run15_BuzzFeed_pr_curve.csv,0.524171800653578
metoda16,run16_BuzzFeed_pr_curve.csv,0.470779171131226
metoda17,run17_BuzzFeed_pr_curve.csv,0.3755356102481058
metoda18,run18_BuzzFeed_pr_curve.csv,0.47474451427834174
metoda19,run19_BuzzFeed_pr_curve.csv,0.5878928832361642
metoda20,run20_BuzzFeed_pr_curve.csv,0.524171800653578
metoda2,run2_BuzzFeed_pr_curve.csv,0.524171800653578
metoda3,run3_BuzzFeed_pr_curve.csv,0.524171800653578
metoda4,run4_BuzzFeed_pr_curve.csv,0.524171800653578
metoda5,run5_BuzzFeed_pr_curve.csv,0.5523413709883542
metoda6,run6_BuzzFeed_pr_curve.csv,0.524171800653578
metoda7,run7_BuzzFeed_pr_curve.csv,0.5502495980905798
metoda8,run8_BuzzFeed_pr_curve.csv,0.524171800653578
metoda9,run9_BuzzFeed_pr_curve.csv,0.5279914472241797
