method,run,AUC-PR
run1-1,run1-1_BuzzFeed_pr_curve.csv,0.6908092955058106
run1-2,run1-2_BuzzFeed_pr_curve.csv,0.6331239978276471
run1-3,run1-3_BuzzFeed_pr_curve.csv,0.8376706095891835
run1-4,run1-4_BuzzFeed_pr_curve.csv,0.8496817431143933
run1-5,run1-5_BuzzFeed_pr_curve.csv,0.6180886152978592
run10,run10_BuzzFeed_pr_curve.csv,0.7925396875186547
run11,run11_BuzzFeed_pr_curve.csv,0.8029084470376917
run12-catboost,run12-catboost_BuzzFeed_pr_curve.csv,0.808796646149738
run12-rf,run12-rf_BuzzFeed_pr_curve.csv,0.7289530221525284
run13,run13_BuzzFeed_pr_curve.csv,0.7934281247908271
run14,run14_BuzzFeed_pr_curve.csv,0.791414718759789
run15,run15_BuzzFeed_pr_curve.csv,0.6672212700650494
run16,run16_BuzzFeed_pr_curve.csv,0.7807529461629479
run17,run17_BuzzFeed_pr_curve.csv,0.8107443772064097
run18,run18_BuzzFeed_pr_curve.csv,0.7196175178451075
run19,run19_BuzzFeed_pr_curve.csv,0.7451967832309706
run20,run20_BuzzFeed_pr_curve.csv,0.6672212700650494
run2,run2_BuzzFeed_pr_curve.csv,0.6672212700650494
run3,run3_BuzzFeed_pr_curve.csv,0.5514814416396119
run4,run4_BuzzFeed_pr_curve.csv,0.7432432432432432
run5,run5_BuzzFeed_pr_curve.csv,0.7906021793358348
run6,run6_BuzzFeed_pr_curve.csv,0.6672212700650494
run7,run7_BuzzFeed_pr_curve.csv,0.7342807407843406
run8,run8_BuzzFeed_pr_curve.csv,0.6672212700650494
run9,run9_BuzzFeed_pr_curve.csv,0.7051544961332376
