method,run,AUC-PR
run1-1,run1-1_WELFake_pr_curve.csv,0.8599999999999999
run1-2,run1-2_WELFake_pr_curve.csv,0.8599999999999999
run1-3,run1-3_WELFake_pr_curve.csv,0.8599999999999999
run1-4,run1-4_WELFake_pr_curve.csv,0.8347619047619046
run1-5,run1-5_WELFake_pr_curve.csv,0.9633333333333334
run10,run10_WELFake_pr_curve.csv,1.0
run11,run11_WELFake_pr_curve.csv,0.9183333333333332
run12-catboost,run12-catboost_WELFake_pr_curve.csv,0.845
run12-rf,run12-rf_WELFake_pr_curve.csv,1.0
run13,run13_WELFake_pr_curve.csv,1.0
run14,run14_WELFake_pr_curve.csv,0.9633333333333334
run15,run15_WELFake_pr_curve.csv,0.8163095238095237
run16,run16_WELFake_pr_curve.csv,1.0
run17,run17_WELFake_pr_curve.csv,1.0
run18,run18_WELFake_pr_curve.csv,1.0
run19,run19_WELFake_pr_curve.csv,1.0
run20,run20_WELFake_pr_curve.csv,1.0
run2,run2_WELFake_pr_curve.csv,0.8163095238095237
run3,run3_WELFake_pr_curve.csv,0.8930952380952379
run4,run4_WELFake_pr_curve.csv,0.75
run5,run5_WELFake_pr_curve.csv,1.0
run6,run6_WELFake_pr_curve.csv,0.8163095238095237
run7,run7_WELFake_pr_curve.csv,1.0
run8,run8_WELFake_pr_curve.csv,0.8163095238095237
run9,run9_WELFake_pr_curve.csv,0.9633333333333334
